code,Chinese,English,System
crushing,壓迫感,Crushing sensation,https://example.org/codesystem/chest-discomfort
sharp,銳痛,Sharp pain,https://example.org/codesystem/chest-discomfort
burning,灼熱感,Burning sensation,https://example.org/codesystem/chest-discomfort
